Timestamp,RSSI,Estimote TLM packet
1583846053972,-97,223c53d934182ed09100bffefb063ff0ffffffff
1583846054084,-97,223c53d934182ed09101ffffffff1a2443742e62
1583846054093,-98,22992074a3a75b01dd0005023f0881f0ffffffff
1583846054140,-100,00992074a3a75b01ddc61c69909013252d946440
1583846054310,-100,22992074a3a75b01dd0004033f0881f0ffffffff
1583846054313,-99,223c53d934182ed09101ffffffff1a2444742e62
1583846054524,-98,223c53d934182ed09101ffffffff1a2443742e62
1583846054624,-100,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846054724,-98,22992074a3a75b01dd000403410881f0ffffffff
1583846054917,-100,22c7f00010b342cf9e00ff00400c36f1ffffffff
1583846054960,-97,223c53d934182ed09101ffffffff1a2444742e62
1583846055181,-99,223c53d934182ed09101ffffffff1a2443742e62
1583846055254,-99,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846055286,-97,223c53d934182ed09100bffffc0641f0ffffffff
1583846055299,-97,00992074a3a75b01ddc61c69909013252d946440
1583846055368,-100,22992074a3a75b01dd000503400881f0ffffffff
1583846055389,-100,223c53d934182ed09101ffffffff1a2443742e62
1583846055469,-99,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846055487,-101,223c53d934182ed09100c0fefb0641f0ffffffff
1583846055596,-98,223c53d934182ed09101ffffffff1a2442742e62
1583846055692,-100,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846055694,-97,223c53d934182ed09100c0fefc0641f0ffffffff
1583846055797,-101,22992074a3a75b01dd000403400881f0ffffffff
1583846055904,-99,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846055909,-99,223c53d934182ed09100bffefb0641f0ffffffff
1583846056023,-99,223c53d934182ed09101ffffffff1a2443742e62
1583846056126,-98,223c53d934182ed09100c0fefb0641f0ffffffff
1583846056216,-100,22992074a3a75b01dd000403410881f0ffffffff
1583846056236,-100,223c53d934182ed09101ffffffff1a2442742e62
1583846056326,-98,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846056438,-100,22992074a3a75b01dd0004023f0881f0ffffffff
1583846056457,-99,223c53d934182ed09101ffffffff1a2443742e62
1583846056544,-102,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846056549,-98,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846056670,-98,223c53d934182ed09101ffffffff1a2443742e62
1583846056775,-96,223c53d934182ed09100bffefb0641f0ffffffff
1583846056856,-100,22992074a3a75b01dd000403400881f0ffffffff
1583846056864,-97,22c7f00010b342cf9e00feff400c38f1ffffffff
1583846056889,-98,223c53d934182ed09101ffffffff1a2443742e62
1583846056971,-89,22c7f00010b342cf9e01ffffffff4e214a0c2b60
1583846057037,-96,007897b2192cd1330e26a7d5a9c1a1fd33e4a440
1583846057038,-97,227897b2192cd1330e01ffffffff432548f02f62
1583846057085,-95,00992074a3a75b01ddc61c69909013252d946440
1583846057103,-100,223c53d934182ed09101ffffffff1a2443742e62
1583846057178,-97,007bb8ba833ded2db995089afaf8275421946440
1583846057181,-96,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846057195,-85,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846057254,-97,227bb8ba833ded2db900073ffb034af0ffffffff
1583846057289,-94,00992074a3a75b01ddc61c69909013252d946440
1583846057295,-97,22992074a3a75b01dd000403410881f0ffffffff
1583846057405,-88,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846057467,-99,227bb8ba833ded2db9000740fc034af0ffffffff
1583846057469,-88,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846057504,-97,2246846e618767844801ffffffff191b46b82f64
1583846057584,-87,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846057615,-96,2246846e6187678448000001400181f0ffffffff
1583846057623,-93,22992074a3a75b01dd01fffffffff6273bf42d5f
1583846057627,-88,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846057693,-87,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846057738,-88,22c7f00010b342cf9e00feff400c38f1ffffffff
1583846057777,-98,003c53d934182ed0916ad408d27f8b3a2f946440
1583846057788,-98,227897b2192cd1330e0000003f2381f1ffffffff
1583846057793,-88,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846057851,-88,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846057885,-99,007897b2192cd1330e26a7d5a9c1a1fd33e4a440
1583846057889,-98,003c53d934182ed0916ad408d27f8b3a2f946440
1583846057892,-98,227897b2192cd1330e01ffffffff432547f02f62
1583846057897,-88,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846057957,-89,22c7f00010b342cf9e00ffff400c39f1ffffffff
1583846057960,-97,223c53d934182ed09101ffffffff1a2443742e62
1583846057991,-96,007897b2192cd1330e26a7d5a9c1a1fd33e4a440
1583846057995,-98,003c53d934182ed0916ad408d27f8b3a2f946440
1583846058003,-97,227897b2192cd1330e00ff00402381f1ffffffff
1583846058008,-88,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846058051,-104,2246846e61876784480000003f0181f0ffffffff
1583846058062,-89,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846058071,-97,223c53d934182ed09100befefc0641f0ffffffff
1583846058100,-96,007897b2192cd1330e26a7d5a9c1a1fd33e4a440
1583846058105,-97,003c53d934182ed0916ad408d27f8b3a2f946440
1583846058109,-97,227897b2192cd1330e01ffffffff432547f02f62
1583846058113,-101,0046846e6187678448d6a5883f028f4d32e4a440
1583846058117,-88,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846058172,-102,22f32a65edd388bbd400fc42ff0281f0ffffffff
1583846058178,-89,22c7f00010b342cf9e00feff410c39f1ffffffff
1583846058181,-96,223c53d934182ed09101ffffffff1a2443742e62
1583846058202,-99,003c53d934182ed0916ad408d27f8b3a2f946440
1583846058217,-89,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846058266,-100,2246846e61876784480000013f0181f0ffffffff
1583846058290,-88,22c7f00010b342cf9e01ffffffff4e21490c2b60
1583846058308,-98,007897b2192cd1330e26a7d5a9c1a1fd33e4a440
1583846058321,-89,00c7f00010b342cf9ed85a0c3b1059d537e4a440
1583846058328,-100,227897b2192cd1330e01ffffffff432548f02f62
1583846058334,-98,00f32a65edd388bbd460b058d8c302962be4a440
1583846058367,-98,2246846e618767844801ffffffff191b46b82f64
1583846058392,-99,22f32a65edd388bbd400fc42ff0281f0ffffffff
1583846058394,-89,22c7f00010b342cf9e00feff410c39f1ffffffff
1583846058397,-98,223c53d934182ed09101ffffffff1a2443742e62
